original_id,x_model,y_model,z_model,x_m,y_m,z_m,observation_count
1,-0.327424952890861,0.0583966667229792,0.0708029754144404,-0.627828581343724,0.111974045045098,0.135762809819139,20
2,-0.335305870873095,0.0504639657050696,0.111961939795031,-0.642940030586633,0.0967633032176164,0.214684022110667,21
3,-0.337050212426708,0.0396326024027833,0.120411722857419,-0.646284758816154,0.075994454062862,0.230886254915109,23
4,-0.335161952587273,0.0322552223886343,0.108538799858725,-0.642664071126551,0.0618485253930316,0.20812024292714,27
5,-0.339884492115034,0.033277559742678,0.140608250634802,-0.651719414239152,0.0638088298993833,0.269612556226574,36
6,-0.036183675115688,-0.00328246865445015,0.0148382424234073,-0.0693812283245767,-0.00629404576662062,0.0284519325972912,25
7,-0.0801550676227343,-0.0335380168501895,-0.110619740726412,-0.153695196254226,-0.064308249430076,-0.212110391329958,20
8,-0.340335691105048,0.0356580635788403,0.147498735956696,-0.652584576222999,0.0683733822743491,0.282824877359155,44
9,-0.0871972873590162,-0.0629487603681722,-0.218066499206026,-0.167198464064161,-0.120702562741053,-0.418136674148798,20
10,-0.337724881640875,0.131841215776076,0.130158339596461,-0.647578418972068,0.252802001596121,0.24957513157569,37
11,-0.0826698021403957,-0.0431830714596023,-0.0410754854266082,-0.158517132367341,-0.0828023834261152,-0.0787611436321657,34
12,-0.339813978174593,0.133003659498439,0.206839074946881,-0.651584205646155,0.255030956312796,0.396608388712615,24
13,-0.0511261637280056,-0.0303068134170753,0.0436360944833547,-0.0980330501982234,-0.0581125033528939,0.0836710429458229,21
14,0.00121986162006457,-0.01412428922004,-0.0718284256299648,0.00233905199832488,-0.0270829464437976,-0.137729083154043,21
15,-0.0122865479452228,0.0436671313066799,-0.106004638486131,-0.0235591267493656,0.0837305552236308,-0.203261056339789,29
16,-0.00243481120456397,0.00200861569619781,-0.0804698305717904,-0.00466868529995859,0.00385146682277741,-0.154298745782203,26
17,-0.00077495762867731,0.0134201801276571,-0.0750978973133549,-0.00148596050581443,0.02573283610957,-0.143998207576611,25
18,-0.0261628989185768,-0.0751609357694216,-0.0771747626812328,-0.0501666582429484,-0.144119082128452,-0.147980541317654,22
19,-0.0961558257863961,-0.0592345061307346,-0.098506668905238,-0.184376221660571,-0.113580579678823,-0.188883900404152,33
20,-0.337802336096249,0.0248275115652473,0.13476670616963,-0.647726935816636,0.0476060887439443,0.258411551104499,27
21,-0.0440436524083116,-0.0732366657183056,0.0558624619315491,-0.0844525243557824,-0.140429345822017,0.107114775203289,25
22,-0.162390176113008,-0.0372621525280545,-0.091574302867786,-0.311378815185081,-0.0714491798897801,-0.175591274120719,23
23,0.224271584766456,0.00178203567191453,-0.067145390249184,0.430034759588302,0.00341700569221717,-0.128749488185671,26
24,-0.0274237441632554,-0.0581208526336173,-0.0521500824902274,-0.0525842952442566,-0.111445178912844,-0.099996387012419,26
25,-0.338353487113189,0.0358851986817544,0.131932578670554,-0.648783753136197,0.0688089077533234,0.252977187500316,61
26,-0.114319580759205,-0.0517053272981872,-0.0178550617071097,-0.21920473554068,-0.0991435808386729,-0.0342366028074711,22
27,-0.328633774196803,0.0142968303159727,0.120000283807954,-0.63014646383529,0.0274137893759764,0.230097331552811,62
28,-0.336520111830161,0.138224589110431,0.178901956880071,-0.645268305114134,0.265041949069005,0.343039712752345,28
29,-0.337610378786784,0.00598890774150554,0.126071074771419,-0.647358862814819,0.0114835702592318,0.241737910697972,45
30,-0.068568576744215,-0.0581438057142544,-0.0751848127691763,-0.131478410188328,-0.111489190830466,-0.144164865636247,21
31,-0.131653900920273,-0.0577304598074967,0.00101324753314699,-0.252442830374915,-0.110696611120359,0.00194287501813505,20
32,-0.329196536355577,-0.0468473757507596,0.101770646265433,-0.631225545208465,-0.0898285888036136,0.195142489609087,20
33,-0.335667356281839,0.119258583055004,0.172250475603199,-0.643633169180208,0.22867514021585,0.330285675477475,29
34,-0.0253780264245906,0.0819868450686812,-0.0360560802476287,-0.0486616862483451,0.157207580466463,-0.0691365685810442,24
35,-0.0324498666581511,-0.0678016466878902,0.104400853353137,-0.0622217505688114,-0.130007842337586,0.200185841283827,23
36,-0.0458614598563513,0.00757158967720976,-0.0697965550239815,-0.0879381214710372,0.0145183204993661,-0.133833025664332,27
37,-0.332092360186677,0.0505682413209841,0.153336146189999,-0.63677820987757,0.0969632489194645,0.294017955202302,68
38,-0.0606108253956651,-0.0527854567262795,-0.0547225222954517,-0.116219635022492,-0.101214700099803,-0.104928971469549,30
39,-0.169726946637071,-0.0280541942664791,-0.111728690074151,-0.325446876244869,-0.0537931664387709,-0.214236772015443,48
40,-0.329057638029023,-0.030534552203505,0.118182787219135,-0.630959211385884,-0.0585491863788476,0.226612330501789,71
