time_s,tx_model,ty_model,tz_model,tx_m,ty_m,tz_m,R11,R21,R31,R12,R22,R32,R13,R23,R33,angle_rad,rate_deg_s
60,0.109140177604759,0.0259064674455307,1.0000035571943,0.20927336865507,0.0496749577585688,1.91748004881365,0.999999999999187,1.37164546214128e-07,-1.26791507127988e-06,-1.37164254343449e-07,0.999999999999964,2.30210624346321e-07,1.26791510285476e-06,-2.30210450443479e-07,0.99999999999917,-1.29592423862098e-06,6.04470366916075
60.05,0.109140717800102,0.0259070520175065,1.0000034868952,0.209274404465178,0.0496760786596822,1.917479914017,0.999986532873532,-0.000555764878497934,0.00515996094680932,0.000560598658319795,0.999999405389932,-0.000935387046910396,-0.00515943802337611,0.000938267117118512,0.999986249832516,0.00527370538415701,6.04470949669544
60.1,0.109141257983032,0.0259076377644205,1.00000341635059,0.209275440251483,0.0496772018137082,1.91747977874961,0.999946118572695,-0.00110681589284835,0.0103215749757676,0.00112615565004849,0.99999762098921,-0.0018680977950146,-0.0103194827803004,0.00187962083921541,0.999944986137061,0.0105487123801526,6.04471670417796
60.15,0.10914179802158,0.0259082246996356,1.00000334552714,0.209276475760942,0.0496783272462696,1.91747964294754,0.999878758115615,-0.00165300065357448,0.0154834317260283,0.00169651822027209,0.999994646842789,-0.00279787628289516,-0.0154787239494598,0.00282380498713788,0.999876209953158,0.0158237262679783,6.04472529160833
60.2,0.109142337783781,0.0259088128365144,1.0000032743915,0.209277510740511,0.0496794549829893,1.91747950654686,0.999784453246428,-0.00219430406660889,0.0206453887443427,0.00227167064889712,0.999990483027676,-0.00372469683850365,-0.0206370191453298,0.00377079351583767,0.999779923061599,0.0210987482518673,6.04473525898655
60.25,0.109142877137666,0.0259094021884199,1.00000320291033,0.209278544937146,0.0496805850494899,1.91747936948362,0.999663206434431,-0.00273071116913676,0.0258073035736511,0.00285159708679905,0.999985129652897,-0.00464853386919728,-0.0257942260067324,0.00472056030458958,0.99965612798358,0.0263737795360498,6.0447466063126
60.3,0.109143415951268,0.0259099927687148,1.00000313105028,0.209279578097803,0.0496817174713943,1.9174792316939,0.999515020874031,-0.00326220712998328,0.0309690337567568,0.00343628155622964,0.999978586859495,-0.00556936186239982,-0.0309502022005087,0.00567307915766419,0.999504827980645,0.0316488213247582,6.0447593335865
60.35,0.109143954092621,0.0259105845907619,1.00000305877801,0.20928060996944,0.0496828522743254,1.91747909311375,0.999339900484665,-0.00378877724999732,0.0361304368399932,0.00402570795122633,0.999970854820522,-0.00648715538625945,-0.0361048054251822,0.00662832380500112,0.999326027054607,0.0369238748222248,6.04477344080825
60.4,0.109144491429757,0.025911177667924,1.00000298606017,0.209281640299012,0.0496839894839058,1.91747895367924,0.99913784991072,-0.00431040696243176,0.0412913703768899,0.00461986003802479,0.999961933741042,-0.00740188909030457,-0.0412578934146224,0.007586267902884,0.999119729947464,0.0421989412326799,6.04478892797783
60.45,0.109145027830708,0.0259117720135639,1.00000291286342,0.209282668833477,0.0496851291257585,1.91747881332643,0.998908874521417,-0.0048270818333215,0.0464516919318473,0.00521872145547545,0.999951823858119,-0.00831353770609907,-0.0464093239417145,0.00854688503461865,0.998885942141283,0.0474740217603567,6.04480579509526
60.5,0.109145563163509,0.0259123676410444,1.00000283915442,0.20928369531979,0.0496862712255062,1.9174786719914,0.99865298041069,-0.00533878756185711,0.051611259083799,0.00582227571546173,0.999940525440818,-0.00922207604789358,-0.0515589548220172,0.00951014871121097,0.998624669858076,0.0527491176094853,6.04482404216054
60.55,0.109146097296191,0.0259129645637283,1.00000276489982,0.209284719504907,0.0496874158087717,1.91747852961019,0.998370174397047,-0.00584550998075643,0.0567699294298855,0.00643050620332277,0.999928038790194,-0.0101274790132768,-0.0567066439174311,0.0104760323720487,0.998335920059657,0.0580242299842981,6.04484366917365
60.6,0.109146630096787,0.0259135627949783,1.00000269006628,0.209285741135786,0.0496885629011778,1.91747838611889,0.998060464023406,-0.00634723505663218,0.0619275605891198,0.0070433961782782,0.999914364239288,-0.0110297215838234,-0.061852249139858,0.0114445093855833,0.998019700447473,0.0632993600890276,6.04486467613461
